iter	Passed	Remaining
407	5988	8689
408	6003	8675
409	6020	8663
410	6037	8652
411	6053	8639
412	6070	8627
413	6092	8623
414	6112	8617
415	6130	8605
416	6146	8593
417	6165	8584
418	6189	8582
419	6213	8579
420	6231	8570
421	6253	8564
422	6275	8560
423	6300	8559
424	6313	8541
425	6329	8528
426	6346	8515
427	6364	8505
428	6392	8508
429	6414	8503
430	6432	8491
431	6448	8478
432	6464	8465
433	6482	8453
434	6498	8440
435	6519	8433
436	6537	8422
437	6559	8416
438	6577	8405
439	6596	8395
440	6614	8383
441	6632	8373
442	6651	8362
443	6669	8352
444	6686	8339
445	6703	8327
446	6720	8313
447	6736	8300
448	6754	8288
449	6776	8282
450	6794	8271
451	6811	8258
452	6828	8245
453	6844	8231
454	6861	8218
455	6877	8204
456	6894	8191
457	6912	8179
458	6928	8166
459	6946	8154
460	6967	8146
461	6985	8134
462	7004	8123
463	7020	8109
464	7036	8095
465	7053	8082
466	7069	8068
467	7086	8055
468	7103	8042
469	7119	8028
470	7136	8015
471	7154	8003
472	7175	7994
473	7198	7988
474	7219	7979
475	7243	7974
476	7264	7964
477	7283	7954
478	7301	7941
479	7318	7928
480	7336	7916
481	7360	7909
482	7378	7898
483	7395	7884
484	7413	7871
485	7430	7858
486	7451	7849
487	7472	7840
488	7494	7831
489	7514	7821
490	7532	7809
491	7550	7796
492	7567	7782
493	7584	7768
494	7601	7754
495	7628	7751
496	7652	7745
497	7681	7743
498	7699	7730
499	7716	7716
500	7732	7701
501	7749	7687
502	7768	7676
503	7788	7664
504	7804	7650
505	7820	7635
506	7839	7622
507	7857	7609
508	7875	7596
509	7892	7583
510	7910	7569
511	7926	7555
512	7943	7540
513	7961	7527
514	7979	7514
515	7997	7501
516	8014	7487
517	8032	7474
518	8048	7459
519	8066	7446
520	8086	7434
521	8102	7419
522	8119	7405
523	8135	7390
524	8154	7377
525	8170	7363
526	8187	7348
527	8204	7334
528	8222	7321
529	8241	7308
530	8260	7296
531	8280	7284
532	8301	7273
533	8318	7259
534	8335	7244
535	8352	7230
536	8369	7216
537	8386	7201
538	8405	7188
539	8426	7178
540	8450	7169
541	8468	7156
542	8490	7145
543	8506	7130
544	8523	7115
545	8541	7102
546	8560	7089
547	8576	7074
548	8593	7059
549	8613	7047
550	8632	7034
551	8652	7022
552	8670	7008
553	8688	6994
554	8705	6980
555	8723	6965
556	8740	6951
557	8757	6936
558	8774	6922
559	8791	6907
560	8809	6893
561	8827	6880
562	8844	6865
563	8861	6850
564	8884	6840
565	8910	6832
566	8935	6823
567	8960	6814
568	8976	6799
569	8993	6784
570	9011	6770
571	9028	6755
572	9045	6740
573	9062	6726
574	9081	6712
575	9097	6696
576	9115	6682
577	9132	6667
578	9149	6652
579	9166	6638
580	9188	6626
581	9207	6612
582	9223	6597
583	9240	6582
584	9260	6569
585	9279	6555
586	9295	6540
587	9313	6525
588	9330	6510
589	9347	6496
590	9364	6480
591	9380	6465
592	9399	6451
593	9417	6437
594	9442	6427
595	9459	6412
596	9478	6398
597	9498	6384
598	9516	6370
599	9533	6355
600	9550	6340
601	9567	6325
602	9586	6311
603	9603	6296
604	9621	6281
605	9638	6266
606	9659	6253
607	9678	6240
608	9696	6225
609	9716	6211
610	9739	6200
611	9764	6190
612	9781	6175
613	9797	6159
614	9815	6144
615	9832	6129
616	9850	6114
617	9866	6098
618	9884	6083
619	9902	6069
620	9919	6053
621	9935	6038
622	9952	6022
623	9973	6009
624	9990	5994
625	10009	5980
626	10026	5964
627	10043	5949
628	10060	5934
629	10077	5918
630	10096	5904
631	10112	5888
632	10130	5873
633	10150	5859
634	10172	5847
635	10197	5836
636	10214	5820
637	10230	5804
638	10248	5789
639	10266	5775
640	10289	5762
641	10306	5747
642	10324	5732
643	10343	5717
644	10363	5703
645	10381	5688
646	10398	5673
647	10417	5658
648	10434	5643
649	10450	5627
650	10467	5611
651	10484	5596
652	10505	5582
653	10528	5569
654	10552	5558
655	10578	5547
656	10606	5537
657	10625	5522
658	10641	5506
659	10658	5490
660	10674	5474
661	10691	5458
662	10707	5442
663	10724	5426
664	10740	5410
665	10758	5395
666	10775	5379
667	10792	5363
668	10808	5347
669	10825	5331
670	10842	5316
671	10860	5300
672	10877	5285
673	10893	5268
674	10909	5252
675	10929	5238
676	10946	5222
677	10963	5206
678	10980	5191
679	10998	5175
680	11016	5160
681	11032	5144
682	11049	5128
683	11066	5112
684	11083	5096
685	11101	5081
686	11117	5065
687	11133	5048
688	11150	5033
689	11167	5017
690	11189	5003
691	11206	4987
692	11222	4971
693	11239	4955
694	11256	4939
695	11273	4923
696	11290	4907
697	11306	4892
698	11324	4876
699	11340	4860
700	11356	4844
701	11374	4828
702	11391	4812
703	11408	4796
704	11425	4780
705	11442	4764
706	11460	4749
707	11478	4734
708	11495	4718
709	11513	4702
710	11530	4686
711	11550	4672
712	11568	4656
713	11587	4641
714	11606	4626
715	11634	4614
716	11661	4602
717	11686	4589
718	11704	4574
719	11724	4559
720	11741	4543
721	11760	4528
722	11778	4512
723	11801	4499
724	11820	4483
725	11840	4468
726	11858	4452
727	11874	4436
728	11891	4420
729	11908	4404
730	11926	4388
731	11943	4372
732	11961	4356
733	11984	4343
734	12006	4328
735	12028	4314
736	12054	4301
737	12077	4287
738	12095	4271
739	12114	4256
740	12139	4242
741	12159	4227
742	12174	4211
743	12190	4194
744	12206	4178
745	12222	4161
746	12238	4144
747	12254	4128
748	12270	4112
749	12287	4095
750	12304	4079
751	12321	4063
752	12341	4048
753	12363	4033
754	12382	4018
755	12399	4001
756	12415	3985
757	12438	3971
758	12455	3954
759	12471	3938
760	12487	3921
761	12504	3905
762	12522	3889
763	12539	3873
764	12558	3857
765	12577	3842
766	12596	3826
767	12613	3810
768	12629	3793
769	12647	3777
770	12666	3762
771	12682	3745
772	12704	3730
773	12727	3716
774	12745	3700
775	12765	3684
776	12786	3669
777	12804	3653
778	12822	3637
779	12846	3623
780	12872	3609
781	12897	3595
782	12919	3580
783	12942	3565
784	12972	3553
785	12995	3538
786	13012	3521
787	13028	3505
788	13045	3488
789	13064	3472
790	13081	3456
791	13097	3439
792	13113	3423
793	13133	3407
794	13150	3391
795	13166	3374
796	13183	3357
797	13200	3341
798	13217	3325
799	13239	3309
800	13260	3294
801	13282	3279
802	13306	3264
803	13323	3248
804	13340	3231
805	13357	3215
806	13374	3198
807	13391	3182
808	13408	3165
809	13426	3149
810	13445	3133
811	13464	3117
812	13480	3100
813	13497	3084
814	13520	3069
815	13538	3052
816	13556	3036
817	13573	3019
818	13595	3004
819	13614	2988
820	13632	2972
821	13653	2956
822	13669	2939
