iter	RMSE
0	46.97833662
1	46.76221184
2	46.53243968
3	46.34313864
4	46.13069637
5	45.91876088
6	45.7627186
7	45.75490834
8	45.60025874
9	45.37746736
10	45.23658323
11	45.22915279
12	45.02136096
13	45.01413295
14	45.00699037
15	44.78858874
16	44.59698315
17	44.45807019
18	44.30895385
19	44.0941793
20	43.88130509
21	43.74490669
22	43.53415266
23	43.32526958
24	43.11824494
25	42.93378509
26	42.78389472
27	42.59169487
28	42.4094876
29	42.27662008
30	42.13542776
31	41.94690156
32	41.74737541
33	41.54963272
34	41.35366151
35	41.17675055
36	41.04762269
37	40.85444156
38	40.67966626
39	40.67507833
40	40.5306524
41	40.34069976
42	40.15245828
43	39.96591637
44	39.79494218
45	39.61087912
46	39.42848544
47	39.24774976
48	39.07637095
49	38.90152502
50	38.72483055
51	38.72161382
52	38.54919232
53	38.37793234
54	38.20782665
55	38.03639534
56	37.86858706
57	37.70191171
58	37.53636227
59	37.36991267
60	37.2050044
61	37.04162673
62	36.88316265
63	36.72850022
64	36.60610365
65	36.44950274
66	36.29050065
67	36.13177419
68	35.97492092
69	35.8187383
70	35.66401641
71	35.51402045
72	35.39128383
73	35.23832357
74	35.23653139
75	35.08464896
76	34.93449156
77	34.78466042
78	34.63585164
79	34.4887528
80	34.34120992
81	34.2218429
82	34.07752808
83	33.93335461
84	33.79054546
85	33.6459895
86	33.50205196
87	33.35873018
88	33.21908328
89	33.07697204
90	32.93924454
91	32.79969619
92	32.79863707
93	32.66006641
94	32.52559727
95	32.39241583
96	32.25384107
97	32.11585914
98	31.98123309
99	31.86909979
100	31.73548596
101	31.60660076
102	31.47478765
103	31.3438749
104	31.21391903
105	31.21324153
106	31.08378034
107	30.95970706
108	30.83683744
109	30.72794998
110	30.60120009
111	30.60069656
112	30.47525455
113	30.34990128
114	30.24104459
115	30.11663574
116	30.00863934
117	29.89090582
118	29.77432244
119	29.64752875
120	29.52618
121	29.39986701
122	29.28615022
123	29.1613575
124	29.04918444
125	28.92535376
126	28.80205471
127	28.6918307
128	28.58269406
129	28.46041729
130	28.35651351
131	28.23557144
132	28.23536021
133	28.11456934
134	28.00065965
135	27.88087283
136	27.78128752
137	27.66930284
138	27.56494866
139	27.46162969
140	27.34414884
141	27.22717057
142	27.1183541
143	27.01028687
144	26.90983595
145	26.81458792
146	26.7000885
147	26.58586552
148	26.4801409
149	26.36685886
150	26.25406144
151	26.15679882
152	26.04490003
153	25.93364003
154	25.82285677
155	25.71254822
156	25.60254994
157	25.49318395
158	25.38412411
159	25.27553083
160	25.17553696
161	25.06783601
162	24.96059581
163	24.85395723
164	24.76260826
165	24.65667382
166	24.56396499
167	24.45888035
168	24.35424526
169	24.25018773
170	24.14657599
171	24.04340814
172	23.95334984
173	23.86392832
174	23.76183843
175	23.67342957
176	23.57215464
177	23.47825052
178	23.37781056
179	23.27780029
180	23.18533923
181	23.09880678
182	23.00704689
183	22.90862274
184	22.81061965
185	22.72669297
186	22.63693721
187	22.54019855
188	22.44377158
189	22.34775713
190	22.25974692
191	22.16451972
192	22.06969991
193	21.97537388
194	21.89549879
195	21.80182984
196	21.70856162
197	21.61569239
198	21.52322046
199	21.43894676
200	21.34723094
201	21.25596402
202	21.1729768
203	21.08239881
204	20.99220831
205	20.90244945
206	20.81307493
207	20.7240366
208	20.63542547
209	20.54714712
210	20.45929287
211	20.37176802
212	20.28461759
213	20.20753788
214	20.13100179
215	20.05500596
216	19.97954702
217	19.89416199
